neighborhood,city,geoType,indicator,value,topic,type,format,order,topicOrder
Black Rock,Bridgeport,1_neighborhood,Total population,8284,Age,table,",",1,1
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Total population,23625,Age,table,",",1,1
Downtown,Bridgeport,1_neighborhood,Total population,3735,Age,table,",",1,1
East End,Bridgeport,1_neighborhood,Total population,9310,Age,table,",",1,1
East Side,Bridgeport,1_neighborhood,Total population,13808,Age,table,",",1,1
Enterprise,Bridgeport,1_neighborhood,Total population,728,Age,table,",",1,1
Hollow,Bridgeport,1_neighborhood,Total population,7280,Age,table,",",1,1
Mill Hill,Bridgeport,1_neighborhood,Total population,12776,Age,table,",",1,1
North End,Bridgeport,1_neighborhood,Total population,24131,Age,table,",",1,1
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Total population,8739,Age,table,",",1,1
South End,Bridgeport,1_neighborhood,Total population,3474,Age,table,",",1,1
Upper East Side,Bridgeport,1_neighborhood,Total population,9492,Age,table,",",1,1
West End-West Side,Bridgeport,1_neighborhood,Total population,21640,Age,table,",",1,1
Bridgeport,Bridgeport,2_city,Total population,147022,Age,table,",",1,1
Fairfield County,Bridgeport,3_county,Total population,941618,Age,table,",",1,1
Connecticut,Bridgeport,4_state,Total population,3588570,Age,table,",",1,1
Black Rock,Bridgeport,1_neighborhood,Population under age 18,1471,Age,table,",",2,2
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Population under age 18,5133,Age,table,",",2,2
Downtown,Bridgeport,1_neighborhood,Population under age 18,758,Age,table,",",2,2
East End,Bridgeport,1_neighborhood,Population under age 18,2642,Age,table,",",2,2
East Side,Bridgeport,1_neighborhood,Population under age 18,4361,Age,table,",",2,2
Enterprise,Bridgeport,1_neighborhood,Population under age 18,196,Age,table,",",2,2
Hollow,Bridgeport,1_neighborhood,Population under age 18,2080,Age,table,",",2,2
Mill Hill,Bridgeport,1_neighborhood,Population under age 18,3031,Age,table,",",2,2
North End,Bridgeport,1_neighborhood,Population under age 18,4770,Age,table,",",2,2
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Population under age 18,2260,Age,table,",",2,2
South End,Bridgeport,1_neighborhood,Population under age 18,584,Age,table,",",2,2
Upper East Side,Bridgeport,1_neighborhood,Population under age 18,2476,Age,table,",",2,2
West End-West Side,Bridgeport,1_neighborhood,Population under age 18,5983,Age,table,",",2,2
Bridgeport,Bridgeport,2_city,Population under age 18,35745,Age,table,",",2,2
Fairfield County,Bridgeport,3_county,Population under age 18,222006,Age,table,",",2,2
Connecticut,Bridgeport,4_state,Population under age 18,773652,Age,table,",",2,2
Black Rock,Bridgeport,1_neighborhood,Percent under age 18,0.178,Age,map,.0%,3,3
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Percent under age 18,0.217,Age,map,.0%,3,3
Downtown,Bridgeport,1_neighborhood,Percent under age 18,0.203,Age,map,.0%,3,3
East End,Bridgeport,1_neighborhood,Percent under age 18,0.284,Age,map,.0%,3,3
East Side,Bridgeport,1_neighborhood,Percent under age 18,0.316,Age,map,.0%,3,3
Enterprise,Bridgeport,1_neighborhood,Percent under age 18,0.269,Age,map,.0%,3,3
Hollow,Bridgeport,1_neighborhood,Percent under age 18,0.286,Age,map,.0%,3,3
Mill Hill,Bridgeport,1_neighborhood,Percent under age 18,0.237,Age,map,.0%,3,3
North End,Bridgeport,1_neighborhood,Percent under age 18,0.198,Age,map,.0%,3,3
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Percent under age 18,0.259,Age,map,.0%,3,3
